Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
Reggie Williams,NOP,30,6-Jun,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,5,5,1.2,0.8,-11.3,2.60%,7.30%,14.40%,54.20%,10.30%
Richard Jefferson,CLE,36,7-Jun,233,Arizona,USA,2001,1,13,49,5.3,2.4,0.9,4.2,2.10%,11.30%,12.30%,53.90%,6.50%
Richaun Holmes,PHI,23,10-Jun,245,Bowling Green,USA,2015,2,37,29,6.8,4.3,0.8,-7.9,10.00%,19.30%,19.00%,56.70%,8.30%
Ricky Rubio,MIN,26,4-Jun,190,None,Spain,2009,1,5,46,8.8,3.8,8.2,-3.5,3.50%,10.20%,14.70%,53.40%,35.50%
Robert Covington,PHI,26,9-Jun,215,Tennessee State,USA,Undrafted,Undrafted,Undrafted,45,11.3,6,1.6,-3.9,4.80%,16.50%,18.30%,50.90%,8.00%
Robin Lopez,CHI,28,Jul-00,255,Stanford,USA,2008,1,15,52,9.6,6.9,0.9,-0.7,12.30%,13.60%,15.80%,51.30%,4.70%
Rodney Hood,UTA,24,8-Jun,206,Duke,USA,2014,1,23,40,13.7,3.6,1.9,7.8,1.20%,12.50%,23.40%,52.80%,11.10%
Rodney McGruder,MIA,25,4-Jun,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,48,6,3.4,1.5,-1.6,5.70%,9.10%,11.60%,49.70%,7.90%
Rodney Stuckey,IND,30,5-Jun,205,Eastern Washington,USA,2007,1,15,19,9,2.5,1.9,-3.6,0.90%,13.00%,22.90%,53.50%,16.70%
Ron Baker,NYK,23,4-Jun,220,Wichita State,USA,Undrafted,Undrafted,Undrafted,26,3.3,1.5,1,1.2,2.10%,12.30%,16.10%,46.70%,14.40%
Rondae Hollis-Jefferson,BKN,22,7-Jun,214,Arizona,USA,2015,1,23,47,7.9,4.9,2,-7.6,3.80%,19.60%,18.50%,50.70%,14.20%
Roy Hibbert,MIL,30,2-Jul,270,Georgetown,USA,2008,1,17,42,5.2,3.6,0.5,0.4,8.50%,14.10%,13.80%,61.30%,4.60%
