Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Noah Vonleh,POR,Power Forward,0.6,0.1,0.4,0.3,3.6,1.5,0.7,0.5,15,1.9,3.6,1.2,0.3,3.9,0.6,78
Dion Waiters,OKL,Shooting Guard,3.1,1.1,2,0.2,9,3.6,2,1.4,27.7,1.8,9.8,0.5,1,2.6,1.5,78
David West,SAN,Power Forward,0.1,0,1.8,0.7,5.7,3.1,1,0.8,18.1,1.8,7.1,0.9,0.6,4,0.9,78
Justise Winslow,MIA,Small Forward,1.5,0.4,1.5,0.3,5.9,2.5,1.5,1,28.7,2.4,6.5,1,0.9,5.2,1.2,78
Isaiah Canaan,PHI,Point Guard,6.3,2.3,1.8,0.2,9.4,3.4,2.3,1.9,25.6,1.7,11,0.3,0.7,2.3,1.2,77
Clint Capela,HOU,Center,0,0,0.6,1.2,5.2,3,2.7,1,19.1,2.5,7,2.5,0.8,6.4,0.8,77
Jerami Grant,PHI,Small Forward,1.9,0.5,1.7,1.6,7.8,3.3,4.2,2.8,26.9,2.8,9.7,1.3,0.7,4.7,1.4,77
Deandre Jordan,LAC,Center,0,0,1.2,2.3,6.6,4.6,8,3.5,33.8,2.7,12.7,3.5,0.7,13.8,1.4,77
Kevin Love,CLE,Power Forward,5.7,2.1,2.4,0.5,12.7,5.3,4.1,3.4,31.5,2.1,16,1.9,0.8,9.9,1.8,77
Kyle Lowry,TOR,Point Guard,7.1,2.8,6.4,0.4,15.6,6.6,6.4,5.2,37.1,2.7,21.2,0.7,2.1,4.7,2.9,77
Tayshaun Prince,MIN,Small Forward,0.3,0.1,0.9,0.2,3,1.3,0.2,0.2,19,0.8,2.9,0.4,0.5,1.9,0.4,77
Ish Smith,PHI,Point Guard,2.2,0.7,6.5,0.3,12.6,5.2,2.3,1.6,29.1,1.7,12.6,0.6,1.1,4,2.3,77
J.R. Smith,CLE,Shooting Guard,6.6,2.6,1.7,0.3,11,4.6,0.9,0.6,30.7,2.6,12.4,0.6,1.1,2.8,0.8,77
Hollis Thompson,PHI,Shooting Guard,5.1,1.9,1.3,0.3,8.8,3.5,1.2,0.9,28,2.4,9.8,0.7,0.5,3.6,1,77
John Wall,WAS,Point Guard,4.2,1.5,10.3,0.8,17.5,7.4,4.5,3.5,36.1,2.1,19.9,0.5,1.9,4.9,4.1,77
Matt Barnes,MEM,Small Forward,4.9,1.6,2.1,0.8,9.1,3.5,1.8,1.5,28.8,3.1,10,1.1,1,5.5,1.6,76
Devin Booker,PHO,Shooting Guard,3.8,1.3,2.6,0.3,11.4,4.8,3.4,2.8,27.8,3,13.8,0.4,0.6,2.5,2.1,76
Avery Bradley,BOS,Point Guard,5.3,1.9,2.1,0.2,13.4,6,1.6,1.3,33.4,2.2,15.2,0.6,1.5,2.9,1.4,76
Ke Caldwell-Pope,DET,Shooting Guard,4.8,1.5,1.8,0.2,12.6,5.3,3,2.4,36.7,2.2,14.5,0.9,1.4,3.7,1.4,76
Matt Dellavedova,CLE,Point Guard,3.1,1.3,4.4,0.1,6.7,2.7,0.9,0.8,24.6,2.3,7.5,0.4,0.6,2.1,1.5,76
Boris Diaw,SAN,Center,0.9,0.3,2.3,0.3,5,2.7,1,0.7,18.2,1.3,6.4,0.8,0.3,3.1,1.3,76
Wayne Ellington,BRO,Shooting Guard,3.5,1.3,1.1,0.1,7.4,2.9,0.8,0.7,21.2,1.1,7.7,0.3,0.6,2.3,0.6,76
Jerian Grant,NYK,Point Guard,1.3,0.3,2.3,0.1,5,1.9,1.6,1.2,16.3,1.2,5.4,0.3,0.6,1.8,1.1,76
Gary Harris,DEN,Shooting Guard,3.9,1.4,1.9,0.2,10.1,4.7,1.8,1.4,32.1,1.9,12.3,0.7,1.3,2.9,1.3,76
Tobias Harris,DET,Small Forward,3.1,1.1,2.2,0.5,11.7,5.5,3.2,2.7,33.1,2,14.7,1.3,0.9,6.7,1.4,76
Lebron James,CLE,Small Forward,3.7,1.1,6.7,0.6,18.6,9.7,6.5,4.7,35.7,1.9,25.3,1.5,1.4,7.4,3.3,76
Timofey Mozgov,CLE,Center,0.1,0,0.4,0.8,4.7,2.7,1.2,0.9,17.5,2.1,6.2,1.4,0.3,4.4,0.9,76
Zaza Pachulia,DAL,Center,0,0,1.7,0.3,6.2,2.9,3.6,2.8,26.4,2.4,8.6,3.3,0.8,9.4,1.6,76
Jabari Parker,MIL,Small Forward,0.5,0.1,1.7,0.4,11.8,5.8,3,2.3,31.7,2,14.1,1.6,0.9,5.2,1.5,76
Ricky Rubio,MIN,Point Guard,2.5,0.8,8.6,0.1,7.7,2.9,4.1,3.5,30.6,2.6,10.1,0.5,2.1,4.3,2.6,76
Luis Scola,TOR,Power Forward,2.1,0.9,0.9,0.4,7.9,3.5,1.1,0.8,21.5,2.3,8.7,1.1,0.6,4.7,0.9,76
Jason Smith,ORL,Power Forward,0.2,0.1,0.8,0.9,6.6,3.2,0.9,0.7,15.5,2.1,7.2,0.7,0.4,2.9,0.8,76
Kent Bazemore,ATL,Shooting Guard,4.1,1.5,2.3,0.5,9.7,4.3,2,1.6,27.7,2.3,11.6,0.4,1.3,5,1.8,75
Marcin Gortat,WAS,Center,0,0,1.4,1.3,10.2,5.8,2.8,1.9,30.1,2.6,13.5,2.9,0.6,9.9,1.6,75
Damian Lillard,POR,Point Guard,8.1,3.1,6.8,0.4,19.7,8.2,6.2,5.5,35.6,2.2,25.1,0.6,0.9,4,3.2,75
Luc Mbah_a_moute,LAC,Small Forward,0.5,0.2,0.4,0.3,2.8,1.3,0.8,0.4,17,1.3,3.1,0.8,0.6,2.3,0.5,75
Dirk Nowitzki,DAL,Power Forward,4.6,1.7,1.8,0.7,14.8,6.6,3.7,3.3,31.5,2.1,18.3,0.7,0.7,6.5,1.1,75
Otto Porter,WAS,Small Forward,3.6,1.3,1.6,0.4,9.6,4.5,1.7,1.3,30.3,2.2,11.6,1.3,1.4,5.2,0.9,75
J.J. Redick,LAC,Shooting Guard,5.6,2.7,1.4,0.1,11.7,5.6,2.7,2.4,28,1.8,16.3,0.1,0.6,1.9,1.1,75
Mike Scott,ATL,Power Forward,2.1,0.8,1,0.2,5,2.3,0.8,0.7,15.4,1.4,6.2,0.7,0.3,2.7,0.6,75
Thabo Sefolosha,ATL,Shooting Guard,1.7,0.6,1.4,0.5,5,2.5,1.3,0.8,23.3,1.5,6.4,0.7,1.1,4.4,0.9,75
Lamarcu Aldridge,SAN,Power Forward,0.2,0,1.5,1.1,14.1,7.2,4.1,3.5,30.5,2,18,2.4,0.5,8.5,1.3,74
J.J. Barea,DAL,Point Guard,3.5,1.4,4.1,0,9.6,4.3,1.3,1,22.5,1.5,10.9,0.4,0.4,2.1,1.5,74
Darren Collison,SAC,Point Guard,2.9,1.2,4.3,0.1,10.5,5.1,3.1,2.6,29.9,1.9,14,0.4,1,2.3,1.7,74
Luol Deng,MIA,Small Forward,3.5,1.2,1.9,0.4,10.1,4.6,2.6,2,32.4,1.6,12.3,1.5,1,6,1.1,74
George Hill,IND,Point Guard,4.2,1.7,3.5,0.2,10,4.4,2,1.5,34.1,2,12.1,0.8,1.1,4,1.4,74
Ersan Ilyasova,ORL,Power Forward,3.5,1.3,0.9,0.4,8.9,3.8,2.1,1.5,25.4,2.3,10.4,1.9,0.7,5.4,1,74
Richar Jefferson,CLE,Small Forward,2.3,0.9,0.8,0.2,4.2,1.9,1.2,0.8,17.9,1.7,5.5,0.2,0.4,1.7,0.6,74
Chris Paul,LAC,Point Guard,4.4,1.6,10,0.2,15.1,7,4.4,4,32.8,2.5,19.5,0.5,2,4.2,2.6,74
Dwyane Wade,MIA,Shooting Guard,0.6,0.1,4.6,0.6,16,7.3,5.5,4.4,30.5,1.6,19,1.1,1.1,4.1,2.7,74
Jae Crowder,BOS,Small Forward,5,1.7,1.8,0.5,11.1,4.9,3.3,2.7,31.6,2.7,14.2,1,1.7,5.1,1.1,73
Alonzo Gee,NOR,Small Forward,0.8,0.2,1,0.2,3.5,1.8,0.9,0.6,22.4,2.3,4.4,0.8,0.9,3.4,0.8,73
Taj Gibson,CHI,Power Forward,0,0,1.5,1.1,6.9,3.6,2,1.4,26.5,2.5,8.6,2.8,0.6,6.9,1.1,73
Jordan Hill,IND,Center,0,0,1.2,0.5,7.5,3.8,1.7,1.2,20.7,2.1,8.8,2.1,0.5,6.2,1.3,73
Stanley Johnson,DET,Small Forward,2.8,0.9,1.6,0.2,8.2,3.1,1.4,1.1,23.1,2.4,8.1,0.8,0.8,4.2,1.6,73
Brook Lopez,BRO,Center,0.2,0,2,1.7,15.8,8.1,5.5,4.3,33.7,2.9,20.6,2.8,0.8,7.9,2.4,73
Elfrid Payton,ORL,Point Guard,1.3,0.4,6.4,0.3,10,4.4,2.6,1.5,29.4,2.2,10.7,1.1,1.2,3.6,2.4,73
Terrence Ross,TOR,Small Forward,4.6,1.8,0.8,0.3,8.6,3.7,0.8,0.7,24,1.6,9.9,0.3,0.7,2.5,0.6,73
Jakarr Sampson,DEN,Shooting Guard,0.9,0.2,0.6,0.5,4.4,1.9,1.7,1.1,16,1.9,5.1,0.6,0.3,2.6,1,73
Nik Stauskas,PHI,Shooting Guard,4.4,1.5,1.9,0.3,7.4,2.9,1.6,1.2,24.6,1.5,8.5,0.3,0.6,2.5,1.3,73
Hassan Whiteside,MIA,Center,0,0,0.4,3.7,9.3,5.6,4.5,2.9,29.1,2.8,14.2,3.3,0.6,11.8,1.9,73
Thaddeus Young,BRO,Small Forward,0.4,0.1,1.8,0.5,13.2,6.8,2.2,1.4,33.1,2.5,15.1,2.4,1.5,9.1,1.9,73
Cody Zeller,CHA,Power Forward,0.1,0,1,0.9,6,3.2,3.2,2.4,24.3,2.8,8.7,1.9,0.8,6.2,0.9,73
Carmelo Anthony,NYK,Small Forward,4.3,1.5,4.2,0.5,18.2,7.9,5.6,4.6,35.1,2.5,21.8,1.4,0.9,7.7,2.4,72
Jose Calderon,NYK,Point Guard,2.8,1.2,4.1,0.1,6.3,2.9,0.7,0.6,28.1,1.9,7.6,0.3,0.9,3.2,1.2,72
Goran Dragic,MIA,Shooting Guard,2.8,0.9,5.8,0.2,12.2,5.8,2.3,1.7,32.8,2.6,14.1,0.8,1,3.8,2.6,72
Kevin Durant,OKL,Small Forward,6.7,2.6,5,1.2,19.2,9.7,6.9,6.2,35.8,1.9,28.2,0.6,0.9,8.2,3.5,72
Pau Gasol,CHI,Power Forward,1,0.3,4.1,2,13.8,6.5,4,3.2,31.9,2.1,16.5,2.2,0.6,11,2.3,72
Gerald Henderson,POR,Shooting Guard,1.9,0.7,1,0.3,7.3,3.2,2,1.6,19.9,1.2,8.7,0.4,0.5,2.9,0.9,72
Kawhi Leonard,SAN,Small Forward,4,1.8,2.6,1,15.2,7.7,4.6,4.1,33.1,1.8,21.2,1.3,1.8,6.9,1.5,72
Victor Oladipo,ORL,Shooting Guard,3.9,1.4,3.9,0.8,13.5,5.9,3.4,2.8,33.1,2.4,16,0.7,1.6,4.8,2.1,72
Tony Parker,SAN,Point Guard,0.9,0.4,5.3,0.2,9.9,4.9,2.4,1.8,27.5,1.6,11.9,0.2,0.8,2.5,1.8,72
Kristaps Porzingis,NYK,Power Forward,3.4,1.1,1.3,1.9,12.3,5.2,3.3,2.8,28.5,2.8,14.3,1.8,0.7,7.3,1.7,72
Rajon Rondo,SAC,Point Guard,2.4,0.9,11.6,0.1,10.9,4.9,2.1,1.2,35.2,2.4,11.9,1.1,2,6.1,3.9,72
Brandon Rush,GSW,Shooting Guard,2.2,0.9,0.8,0.3,3.6,1.5,0.4,0.2,14.6,0.8,4.2,0.3,0.3,2.5,0.5,72
Marrees Speights,GSW,Center,0.9,0.3,0.8,0.5,6.3,2.7,1.6,1.3,11.6,1.6,7.1,1.1,0.3,3.3,0.9,72
Jason Terry,HOU,Shooting Guard,3.6,1.3,1.4,0.1,5.2,2.1,0.5,0.4,17.5,1.3,5.9,0.2,0.7,1.1,0.7,72
Anthony Tolliver,DET,Power Forward,3.8,1.4,0.7,0.2,4.6,1.8,0.7,0.4,18.6,1.2,5.3,0.5,0.4,3.2,0.4,72
